
K = 3
| Cluster | Descriptive Label                        | Key Audio Characteristics (relative to average)                                                                                     | Dominant Genre Patterns                                                 | Interpretation                                                                                                              |
| ------- | ---------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------- |
| **1**   | **Spoken / Comedy Content**              | Extremely high **speechiness** and **liveness**; low danceability and tempo; near-average duration                                  | Overwhelmingly **Comedy**, with minor soundtrack and children’s content | Represents spoken-word and non-traditional musical audio such as comedy tracks, live recordings, and dialogue-heavy content |
| **2**   | **Mainstream / Popular Music**           | High **energy**, **danceability**, **loudness**, and **valence**; slightly faster tempo; low instrumentalness and speechiness       | Broad mix of **Pop, Hip-Hop, Rap, Dance, Electronic, Rock, R&B, Indie** | Captures radio-friendly, commercially popular music designed for mass appeal and playlist consumption                       |
| **0**   | **Instrumental / Classical / Cinematic** | Very high **instrumentalness** and **acousticness**; very low energy, danceability, loudness, and valence; slightly longer duration | **Classical, Opera, Soundtrack, Movie, Jazz, World**                    | Represents instrumental, orchestral, and cinematic music emphasizing mood, structure, and acoustic composition              |


| Cluster | Descriptive Label                        | Key Audio Characteristics                                                                                                 | Dominant Genres                             | Interpretation                                                                                       |
| ------- | ---------------------------------------- | ------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------- | ---------------------------------------------------------------------------------------------------- |
| **0**   | **Spoken / Comedy Content**              | Extremely high **speechiness** (+3.70) and **liveness** (+2.41); low danceability and tempo; low loudness                 | **Comedy (~91%)**, minor Movie/Soundtrack   | Spoken-word and non-musical audio such as comedy tracks, live recordings, and dialogue-heavy content |
| **1**   | **Acoustic / Artistic Music**            | High **acousticness**; low **energy**, **energy_dance**, and loudness; subdued valence                                    | Folk, Jazz, Indie, Soul, Movie, Opera       | Softer, expressive, and acoustic-oriented music emphasizing mood over rhythm                         |
| **2**   | **Alternative / Electronic Music**       | High **energy**, **tempo**, and loudness; moderate danceability; positive `energy_dance`                                  | Alternative, Electronic, Rock, Ska, World   | Rhythm-driven but less mainstream music, often experimental or genre-blending                        |
| **3**   | **Instrumental / Classical / Cinematic** | Very high **instrumentalness** (+1.51) and **acousticness** (+1.26); very low energy, danceability, loudness, and valence | **Classical, Opera, Soundtrack, Movie**     | Orchestral, instrumental, and cinematic music focused on structure and atmosphere                    |
| **4**   | **Mainstream / Dance / Urban Music**     | Very high **danceability**, **energy**, **valence**, and **energy_dance**; loud and upbeat                                | Pop, Hip-Hop, Rap, Reggaeton, Reggae, Dance | High-energy, upbeat, vocal-driven music designed for mass appeal and dance settings                  |
